EP, 17, 2017091318, 01, CARQ, -24, 143N, 1072W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 17, 2017091318, 01, CARQ, -18, 146N, 1084W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 17, 2017091318, 01, CARQ, -12, 147N, 1088W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 283,   4,     INVEST,  , 
EP, 17, 2017091318, 01, CARQ,  -6, 148N, 1093W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 17, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 17, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 17, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 17, 2017091318, 03, AC00,   0, 157N, 1088W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AC00, 156, 437N,  943W,  35,  993, XX,  34, NEQ,    0,   79,    0,    0, 
EP, 17, 2017091318, 03, AC00, 162, 458N,  926W,  29,  993, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AC00, 168, 479N,  917W,  40,  993, XX,  34, NEQ,  191,  214,    0,    0, 
EP, 17, 2017091318, 03, AC00, 174, 498N,  915W,  31,  996, XX,  34, NEQ,    0,  225,    0,    0, 
EP, 17, 2017091318, 03, AC00, 180, 520N,  916W,  14,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AC00, 186, 545N,  929W,  14,  990, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AEMN,   0, 158N, 1090W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0,   38,    4,   7,   0,   0, 
EP, 17, 2017091318, 03, AEMN,   6, 163N, 1093W,  35, 1001, XX,  34, NEQ,    0,    0,    0,    0,   39,    5,   7,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  12, 169N, 1097W,  36, 1002, XX,  34, NEQ,    0,    0,    0,    0,   53,    5,   7,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  18, 174N, 1099W,  37,  999, XX,  34, NEQ,    0,    0,    0,    0,   61,    6,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  24, 178N, 1102W,  39, 1000, XX,  34, NEQ,    0,    0,    0,    0,   72,    6,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  30, 182N, 1102W,  39,  996, XX,  34, NEQ,    0,    0,    0,    0,   78,    7,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  36, 184N, 1102W,  39,  998, XX,  34, NEQ,    0,    0,    0,    0,   80,    7,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  42, 187N, 1102W,  41,  994, XX,  34, NEQ,    0,    0,    0,    0,   82,    7,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  48, 189N, 1100W,  42,  995, XX,  34, NEQ,    0,    0,    0,    0,   83,    8,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  54, 191N, 1098W,  42,  991, XX,  34, NEQ,    0,    0,    0,    0,   82,    8,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  60, 193N, 1097W,  42,  993, XX,  34, NEQ,    0,    0,    0,    0,   83,    8,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  66, 197N, 1096W,  44,  988, XX,  34, NEQ,    0,    0,    0,    0,   87,    8,   9,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  72, 202N, 1096W,  46,  989, XX,  34, NEQ,    0,    0,    0,    0,   94,    9,  11,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  78, 207N, 1096W,  48,  984, XX,  34, NEQ,    0,    0,    0,    0,  103,   10,  12,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  84, 213N, 1098W,  48,  987, XX,  34, NEQ,    0,    0,    0,    0,  119,    9,  12,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  90, 221N, 1100W,  45,  987, XX,  34, NEQ,    0,    0,    0,    0,  143,    8,  10,   0,   0, 
EP, 17, 2017091318, 03, AEMN,  96, 229N, 1102W,  44,  991, XX,  34, NEQ,    0,    0,    0,    0,  169,    8,  12,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 102, 238N, 1101W,  42,  990, XX,  34, NEQ,    0,    0,    0,    0,  198,    9,  12,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 108, 247N, 1100W,  39,  995, XX,  34, NEQ,    0,    0,    0,    0,  238,    8,  13,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 114, 256N, 1097W,  36,  995, XX,  34, NEQ,    0,    0,    0,    0,  278,    9,  13,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 120, 264N, 1094W,  35,  998, XX,  34, NEQ,    0,    0,    0,    0,  320,    7,  12,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 126, 274N, 1087W,  31,  997, XX,  34, NEQ,    0,    0,    0,    0,  365,    6,  11,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 132, 285N, 1080W,  29, 1000, XX,  34, NEQ,    0,    0,    0,    0,  401,    5,  10,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 138, 297N, 1077W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0,  437,    4,   8,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 144, 307N, 1073W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0,  465,    4,   6,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 150, 311N, 1062W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0,  528,    5,   6,   0,   0, 
EP, 17, 2017091318, 03, AEMN, 156, 341N, 1029W,  28, 1001, XX,  34, NEQ,    0,    0,    0,    0,  566,    4,   6,   0,   0, 
EP, 17, 2017091318, 03, AP01,   0, 161N, 1092W,  34, 1005, XX,  34, NEQ,    0,   57,    0,    0, 
EP, 17, 2017091318, 03, AP01,   6, 166N, 1097W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  12, 170N, 1101W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  18, 173N, 1106W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  24, 174N, 1110W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  30, 177N, 1108W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  36, 181N, 1108W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01,  42, 184N, 1106W,  37,  998, XX,  34, NEQ,    0,   67,   76,    0, 
EP, 17, 2017091318, 03, AP01,  48, 188N, 1104W,  38,  999, XX,  34, NEQ,    0,   91,   87,   80, 
EP, 17, 2017091318, 03, AP01,  54, 191N, 1101W,  42,  993, XX,  34, NEQ,    0,   94,   91,   84, 
EP, 17, 2017091318, 03, AP01,  60, 193N, 1100W,  41,  993, XX,  34, NEQ,   89,   97,   84,   70, 
EP, 17, 2017091318, 03, AP01,  66, 198N, 1099W,  46,  986, XX,  34, NEQ,   97,  105,   88,   84, 
EP, 17, 2017091318, 03, AP01,  72, 203N, 1101W,  56,  984, XX,  34, NEQ,   99,   96,   86,   87, 
EP, 17, 2017091318, 03, AP01,  72, 203N, 1101W,  56,  984, XX,  50, NEQ,    0,   60,   55,    0, 
EP, 17, 2017091318, 03, AP01,  78, 210N, 1100W,  50,  978, XX,  34, NEQ,   88,   92,   90,   83, 
EP, 17, 2017091318, 03, AP01,  84, 217N, 1102W,  50,  986, XX,  34, NEQ,   99,   99,   79,   74, 
EP, 17, 2017091318, 03, AP01,  90, 228N, 1104W,  47,  987, XX,  34, NEQ,  115,  108,   80,   67, 
EP, 17, 2017091318, 03, AP01,  96, 241N, 1108W,  52,  989, XX,  34, NEQ,  134,  124,   80,   63, 
EP, 17, 2017091318, 03, AP01,  96, 241N, 1108W,  52,  989, XX,  50, NEQ,   49,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01, 102, 253N, 1109W,  53,  987, XX,  34, NEQ,  103,  104,   62,   75, 
EP, 17, 2017091318, 03, AP01, 102, 253N, 1109W,  53,  987, XX,  50, NEQ,   61,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01, 108, 264N, 1109W,  55,  989, XX,  34, NEQ,   81,   91,   57,   69, 
EP, 17, 2017091318, 03, AP01, 108, 264N, 1109W,  55,  989, XX,  50, NEQ,   54,    0,    0,    0, 
EP, 17, 2017091318, 03, AP01, 114, 277N, 1107W,  42,  993, XX,  34, NEQ,    0,   64,   49,    0, 
EP, 17, 2017091318, 03, AP01, 120, 293N, 1104W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,   0, 156N, 1094W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,   6, 161N, 1093W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  12, 171N, 1093W,  35, 1007, XX,  34, NEQ,    0,   76,    0,    0, 
EP, 17, 2017091318, 03, AP02,  18, 175N, 1102W,  33, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  24, 181N, 1107W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  30, 182N, 1107W,  32, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  36, 184N, 1104W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  42, 188N, 1102W,  33, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  48, 191N, 1098W,  33, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  54, 196N, 1098W,  32,  998, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  60, 197N, 1100W,  31, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  66, 199N, 1100W,  33,  997, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02,  72, 202N, 1099W,  35,  998, XX,  34, NEQ,    0,    0,   62,    0, 
EP, 17, 2017091318, 03, AP02,  78, 207N, 1097W,  37,  993, XX,  34, NEQ,   75,   83,   77,   64, 
EP, 17, 2017091318, 03, AP02,  84, 211N, 1098W,  39,  995, XX,  34, NEQ,   79,   80,   69,   68, 
EP, 17, 2017091318, 03, AP02,  90, 216N, 1098W,  42,  991, XX,  34, NEQ,   78,   87,   76,   60, 
EP, 17, 2017091318, 03, AP02,  96, 223N, 1099W,  43,  993, XX,  34, NEQ,   95,   83,   61,    0, 
EP, 17, 2017091318, 03, AP02, 102, 232N, 1100W,  45,  990, XX,  34, NEQ,   87,   86,   59,   54, 
EP, 17, 2017091318, 03, AP02, 108, 239N, 1103W,  46,  992, XX,  34, NEQ,  104,   78,   58,   70, 
EP, 17, 2017091318, 03, AP02, 114, 248N, 1103W,  49,  990, XX,  34, NEQ,   97,   99,    0,   59, 
EP, 17, 2017091318, 03, AP02, 120, 258N, 1100W,  47,  992, XX,  34, NEQ,   61,   77,   55,   58, 
EP, 17, 2017091318, 03, AP02, 126, 270N, 1096W,  37,  997, XX,  34, NEQ,    0,    0,   43,    0, 
EP, 17, 2017091318, 03, AP02, 132, 293N, 1079W,  17, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02, 138, 309N, 1061W,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02, 144, 325N, 1043W,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP02, 150, 341N, 1019W,  24,  999, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,   0, 158N, 1084W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,   6, 164N, 1094W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,  12, 174N, 1099W,  34, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,  18, 183N, 1103W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,  24, 187N, 1108W,  36, 1003, XX,  34, NEQ,    0,   66,    0,    0, 
EP, 17, 2017091318, 03, AP03,  30, 193N, 1108W,  35,  999, XX,  34, NEQ,    0,   90,    0,    0, 
EP, 17, 2017091318, 03, AP03,  36, 196N, 1109W,  34, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP03,  42, 200N, 1110W,  36,  997, XX,  34, NEQ,    0,    0,   75,    0, 
EP, 17, 2017091318, 03, AP03,  48, 203N, 1107W,  37,  998, XX,  34, NEQ,   96,  105,   97,   89, 
EP, 17, 2017091318, 03, AP03,  54, 207N, 1103W,  40,  992, XX,  34, NEQ,   98,  115,  110,   92, 
EP, 17, 2017091318, 03, AP03,  60, 208N, 1100W,  40,  993, XX,  34, NEQ,   97,  100,  100,   89, 
EP, 17, 2017091318, 03, AP03,  66, 214N, 1099W,  43,  989, XX,  34, NEQ,  114,  108,   93,   77, 
EP, 17, 2017091318, 03, AP03,  72, 219N, 1099W,  41,  991, XX,  34, NEQ,  105,   96,   88,   65, 
EP, 17, 2017091318, 03, AP03,  78, 225N, 1099W,  43,  988, XX,  34, NEQ,   90,   99,   86,   80, 
EP, 17, 2017091318, 03, AP03,  84, 231N, 1101W,  44,  988, XX,  34, NEQ,  126,   94,   84,   89, 
EP, 17, 2017091318, 03, AP03,  90, 238N, 1102W,  44,  987, XX,  34, NEQ,  129,   96,   89,   78, 
EP, 17, 2017091318, 03, AP03,  96, 245N, 1103W,  48,  991, XX,  34, NEQ,  126,   99,   72,   70, 
EP, 17, 2017091318, 03, AP03, 102, 254N, 1101W,  48,  987, XX,  34, NEQ,   88,   92,   64,   64, 
EP, 17, 2017091318, 03, AP03, 108, 263N, 1099W,  41,  994, XX,  34, NEQ,   50,   70,   54,   48, 
EP, 17, 2017091318, 03, AP03, 114, 274N, 1093W,  24, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04,   0, 156N, 1081W,  37, 1002, XX,  34, NEQ,   65,   80,    0,   65, 
EP, 17, 2017091318, 03, AP04,   6, 159N, 1089W,  43,  995, XX,  34, NEQ,   81,  117,   84,   69, 
EP, 17, 2017091318, 03, AP04,  12, 165N, 1090W,  45,  994, XX,  34, NEQ,   92,  117,   88,   66, 
EP, 17, 2017091318, 03, AP04,  18, 171N, 1090W,  51,  990, XX,  34, NEQ,   93,  112,   98,   76, 
EP, 17, 2017091318, 03, AP04,  18, 171N, 1090W,  51,  990, XX,  50, NEQ,    0,   52,    0,    0, 
EP, 17, 2017091318, 03, AP04,  24, 179N, 1091W,  54,  991, XX,  34, NEQ,   88,   92,   87,   74, 
EP, 17, 2017091318, 03, AP04,  24, 179N, 1091W,  54,  991, XX,  50, NEQ,    0,   55,    0,    0, 
EP, 17, 2017091318, 03, AP04,  30, 185N, 1095W,  52,  986, XX,  34, NEQ,   84,   93,   90,   74, 
EP, 17, 2017091318, 03, AP04,  30, 185N, 1095W,  52,  986, XX,  50, NEQ,   51,   45,    0,    0, 
EP, 17, 2017091318, 03, AP04,  36, 188N, 1097W,  47,  992, XX,  34, NEQ,   82,  107,   81,   66, 
EP, 17, 2017091318, 03, AP04,  42, 190N, 1098W,  45,  988, XX,  34, NEQ,   82,   82,   81,   75, 
EP, 17, 2017091318, 03, AP04,  48, 193N, 1097W,  48,  991, XX,  34, NEQ,   86,   85,   86,   76, 
EP, 17, 2017091318, 03, AP04,  54, 196N, 1096W,  47,  985, XX,  34, NEQ,   84,   88,   85,   75, 
EP, 17, 2017091318, 03, AP04,  60, 197N, 1094W,  48,  988, XX,  34, NEQ,   95,   92,   85,   81, 
EP, 17, 2017091318, 03, AP04,  66, 203N, 1093W,  48,  985, XX,  34, NEQ,   98,   96,  101,   88, 
EP, 17, 2017091318, 03, AP04,  72, 206N, 1093W,  48,  986, XX,  34, NEQ,  111,  106,  101,   84, 
EP, 17, 2017091318, 03, AP04,  78, 211N, 1091W,  52,  981, XX,  34, NEQ,  118,  116,   87,   89, 
EP, 17, 2017091318, 03, AP04,  78, 211N, 1091W,  52,  981, XX,  50, NEQ,    0,   39,   55,    0, 
EP, 17, 2017091318, 03, AP04,  84, 217N, 1091W,  50,  986, XX,  34, NEQ,  100,   99,   84,   74, 
EP, 17, 2017091318, 03, AP04,  84, 217N, 1091W,  50,  986, XX,  50, NEQ,   62,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04,  90, 224N, 1094W,  49,  984, XX,  34, NEQ,  125,   96,   85,   71, 
EP, 17, 2017091318, 03, AP04,  96, 231N, 1099W,  48,  987, XX,  34, NEQ,  106,   89,   80,   89, 
EP, 17, 2017091318, 03, AP04, 102, 236N, 1103W,  51,  983, XX,  34, NEQ,   90,   86,   89,   67, 
EP, 17, 2017091318, 03, AP04, 102, 236N, 1103W,  51,  983, XX,  50, NEQ,   56,    0,   45,    0, 
EP, 17, 2017091318, 03, AP04, 108, 240N, 1106W,  52,  987, XX,  34, NEQ,   91,   90,   86,   79, 
EP, 17, 2017091318, 03, AP04, 108, 240N, 1106W,  52,  987, XX,  50, NEQ,   48,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04, 114, 246N, 1107W,  48,  989, XX,  34, NEQ,  100,   94,   80,   62, 
EP, 17, 2017091318, 03, AP04, 120, 253N, 1108W,  47,  994, XX,  34, NEQ,   97,   97,    0,   48, 
EP, 17, 2017091318, 03, AP04, 126, 261N, 1104W,  45,  991, XX,  34, NEQ,   57,   74,   43,   56, 
EP, 17, 2017091318, 03, AP04, 132, 269N, 1100W,  38,  995, XX,  34, NEQ,    0,   64,   43,   29, 
EP, 17, 2017091318, 03, AP04, 138, 286N, 1086W,  22, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04, 144, 303N, 1068W,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04, 150, 315N, 1046W,  21,  999, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP04, 156, 335N, 1026W,  21, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 17, 2017091318, 03, AP05,   0, 156N, 1086W,  44,  999, XX,  34, NEQ,   94,  101,    0,   74, 
EP, 17, 2017091318, 03, AP05,   6, 159N, 1094W,  46,  991, XX,  34, NEQ,  107,  131,   88,   83, 
EP, 17, 2017091318, 03, AP05,  12, 165N, 1100W,  48,  991, XX,  34, NEQ,  108,  165,   69,   75, 
EP, 17, 2017091318, 03, AP05,  18, 172N, 1106W,  54,  987, XX,  34, NEQ,   97,  135,   79,   84, 
EP, 17, 2017091318, 03, AP05,  18, 172N, 1106W,  54,  987, XX,  50, NEQ,    0,   59,    0,    0, 
EP, 17, 2017091318, 03, AP05,  24, 178N, 1109W,  57,  987, XX,  34, NEQ,   90,   83,   88,   86, 
EP, 17, 2017091318, 03, AP05,  24, 178N, 1109W,  57,  987, XX,  50, NEQ,   55,   63,   54,    0, 
EP, 17, 2017091318, 03, AP05,  30, 183N, 1112W,  52,  985, XX,  34, NEQ,   88,   95,   95,   85, 
EP, 17, 2017091318, 03, AP05,  30, 183N, 1112W,  52,  985, XX,  50, NEQ,    0,   63,    0,    0, 
EP, 17, 2017091318, 03, AP05,  36, 185N, 1114W,  50,  987, XX,  34, NEQ,   99,  103,   93,   82, 
EP, 17, 2017091318, 03, AP05,  36, 185N, 1114W,  50,  987, XX,  50, NEQ,    0,   60,    0,    0, 
EP, 17, 2017091318, 03, AP05,  42, 191N, 1114W,  49,  985, XX,  34, NEQ,   95,  129,  124,   81, 
EP, 17, 2017091318, 03, AP05,  48, 194N, 1110W,  55,  984, XX,  34, NEQ,  119,  128,   96,   92, 
EP, 17, 2017091318, 03, AP05,  48, 194N, 1110W,  55,  984, XX,  50, NEQ,   60,   74,   65,    0, 
EP, 17, 2017091318, 03, AP05,  54, 200N, 1106W,  55,  982, XX,  34, NEQ,  101,  106,  104,   97, 
EP, 17, 2017091318, 03, AP05,  54, 200N, 1106W,  55,  982, XX,  50, NEQ,    0,   64,   66,    0, 
EP, 17, 2017091318, 03, AP05,  60, 205N, 1105W,  48,  985, XX,  34, NEQ,  114,  124,  109,   78, 
EP, 17, 2017091318, 03, AP05,  66, 212N, 1102W,  47,  981, XX,  34, NEQ,  133,  137,  113,   85, 
EP, 17, 2017091318, 03, AP05,  72, 220N, 1099W,  52,  981, XX,  34, NEQ,  145,  137,  101,   75, 
EP, 17, 2017091318, 03, AP05,  72, 220N, 1099W,  52,  981, XX,  50, NEQ,   50,   73,   63,    0, 
EP, 17, 2017091318, 03, AP05,  78, 233N, 1097W,  58,  976, XX,  34, NEQ,  150,  151,   96,  102, 
EP, 17, 2017091318, 03, AP05,  78, 233N, 1097W,  58,  976, XX,  50, NEQ,   79,   73,   55,   50, 
EP, 17, 2017091318, 03, AP05,  84, 244N, 1097W,  62,  975, XX,  34, NEQ,  120,  123,   74,   80, 
EP, 17, 2017091318, 03, AP05,  84, 244N, 1097W,  62,  975, XX,  50, NEQ,   76,   72,   30,   50, 
EP, 17, 2017091318, 03, AP05,  90, 257N, 1096W,  60,  977, XX,  34, NEQ,   66,   84,   79,   69, 
EP, 17, 2017091318, 03, AP05,  90, 257N, 1096W,  60,  977, XX,  50, NEQ,    0,   59,    0,    0, 
EP, 17, 2017091318, 03, AP05,  96, 271N, 1096W,  35,  993, XX,  34, NEQ,    0,   67,   44,    0, 
